,bookingReference,NPSReason,Topic
976,7882316,15kg luggage allowance could be improved  without having to pay extra.,flights
977,7882322,Hotel good  clean with friendly staff. Very good location. Game of Thrones tour was good but felt it was overpriced for the content. Montenegro Kotor Cruise was disappointing  long ferry ride to the main boat  lunch food poor and the Lady of the Rocks is,accommodation
978,7882330,The ship was kept very clean. the food was great and service by the staff was excellent. The destinations were great however the taste of santa marta excursion was poor with little to see and what made it worse was being in a vehicle with limited visibil,accommodation
979,7882342,TUI as a company I believe does not value customers. I usually book in store who match prices this year they would only do for an admin fee. I therefore booked on line which was simple  but I prefer to book in person. For that alone I might as well go to,booking
980,7882353,Very easy to book on line. No problems with flights  transfers or accommodation.,booking
981,7882354,The Dream is a mid sized ship which my wife and I much prefer and  although it is slightly dated  it is well appointed  very clean and the crew are friendly and courteous. The food and entertainment were very good and we thoroughly enjoyed our short but ,accommodation
982,7882356,excelent on the plane and excent hotel servise very good,accommodation
983,7882357,The hotel was excellent.  the food   the room and the staff. Our problem was with the evening entertainment. We found it so difficult to find out what was on offer that after the third evening we gave up and went to another bar. What we did encounter was,hotel
984,788237,It is in a very good spot for a lot of things bars shops,accommodation
985,7882377,T.he Flight and transfer went well. The Hotel was a very good standard and service of the staff. The location of the Hotel was perfect for the beach and shops. The Room was very good. The Breakfast was excellent with a good choice. The only let down was ,accommodation
986,7882383,The cabin crew both ways were nice. Not too much interaction with the passengers but professional enough. The rep was informative by explaining our check out options and available at the resort and was a local so knew the island very well. The flight tim,flights
987,7882385,Well organised check in to ship.plenty of information of things to do onboard.Daily news letter. We thought that some of the soft drinks should be included as some people don’t drink alcohol yet some guests are drinking there chosen drink the whole day i,hotel
988,7882388,Flights pick ups etc all on time,flights
989,7882393,Flight over was great  hotel was great  information at the hotel was great... flight back was ok but we were not informed about the holiday tax on departure until we arrived in Mexico ($65 each so not exactly cheap - apparently this company is the only o,accommodation
990,7882394,Great holiday wonderful hotel lovely place.,accommodation
